Animal Source,Moisture Designation,Metric,Minimum,Flag Limit,Hard Max Limit,units,Updated,Note
Any,Liquid,rate,0,10000,20000,gal/ac,4/10/2025,
Any,Semi-solid,rate,0,25,50,ton/ac,4/10/2025,
Any,Slurry,rate,0,10000,20000,gal/ac,4/10/2025,
Any,Solid,rate,0,25,50,ton/ac,4/10/2025,
Any,Liquid,solids,0,4,5,%,4/10/2025,
Any,Semi-solid,solids,10,20,20,%,4/10/2025,
Any,Slurry,solids,4,10,15,%,4/10/2025,"Seen an example in a region where people might think of 12-15% solids as a ""slurry"""
Any,Solid,solids,20,100,100,%,4/10/2025,
Beef,Liquid,p2o5,0,300,500,lb/1000 gal,4/10/2025,
Beef,Semi-solid,p2o5,0,250,300,lb/ton,4/10/2025,
Beef,Slurry,p2o5,0,300,500,lb/1000 gal,4/10/2025,
Beef,Solid,p2o5,0,250,300,lb/ton,4/10/2025,
Beef,Liquid,total_n,0,200,400,lb/1000 gal,4/10/2025,
Beef,Semi-solid,total_n,0,100,200,lb/ton,4/10/2025,
Beef,Slurry,total_n,0,200,400,lb/1000 gal,4/10/2025,
Beef,Solid,total_n,0,100,200,lb/ton,4/10/2025,
Dairy,Liquid,p2o5,0,500,1000,lb/1000 gal,4/10/2025,
Dairy,Semi-solid,p2o5,0,250,300,lb/ton,4/10/2025,
Dairy,Slurry,p2o5,0,500,1000,lb/1000 gal,4/10/2025,
Dairy,Solid,p2o5,0,250,300,lb/ton,4/10/2025,
Dairy,Liquid,total_n,0,500,1000,lb/1000 gal,4/10/2025,
Dairy,Semi-solid,total_n,0,100,200,lb/ton,4/10/2025,
Dairy,Slurry,total_n,0,500,1000,lb/1000 gal,4/10/2025,
Dairy,Solid,total_n,0,100,200,lb/ton,4/10/2025,
Poultry,Liquid,p2o5,0,500,1000,lb/1000 gal,4/10/2025,
Poultry,Semi-solid,p2o5,0,500,700,lb/ton,4/10/2025,
Poultry,Slurry,p2o5,0,500,1000,lb/1000 gal,4/10/2025,
Poultry,Solid,p2o5,0,500,700,lb/ton,4/10/2025,
Poultry,Semi-solid,rate,0,10,20,ton/ac,4/10/2025,
Poultry,Solid,rate,0,10,20,ton/ac,4/10/2025,
Poultry,Liquid,total_n,0,500,1000,lb/1000 gal,4/10/2025,
Poultry,Semi-solid,total_n,0,300,500,lb/ton,4/10/2025,
Poultry,Slurry,total_n,0,500,1000,lb/1000 gal,4/10/2025,
Poultry,Solid,total_n,0,300,500,lb/ton,4/10/2025,
Swine,Liquid,p2o5,0,500,1000,lb/1000 gal,4/10/2025,
Swine,Semi-solid,p2o5,0,500,700,lb/ton,4/10/2025,
Swine,Slurry,p2o5,0,500,1000,lb/1000 gal,4/10/2025,
Swine,Solid,p2o5,0,500,700,lb/ton,4/10/2025,
Swine,Liquid,total_n,0,500,1000,lb/1000 gal,4/10/2025,
Swine,Semi-solid,total_n,0,100,200,lb/ton,4/10/2025,
Swine,Slurry,total_n,0,500,1000,lb/1000 gal,4/10/2025,
Swine,Solid,total_n,0,100,200,lb/ton,4/10/2025,
